,level_0,index,PID,practice,run,block,trial,item_id,stimulus,path,outcome,iti,isi,response,response_acc,response_rt,long_iti,simulation,version
0,0,4,,0,1,1,5,K,,,,3400.0,1200.0,,,,1,7,1
1,1,5,,0,1,1,6,B,,,,1700.0,1600.0,,,,0,7,1
2,2,6,,0,1,1,7,J,,,,1100.0,2100.0,,,,0,7,1
3,3,7,,0,1,1,8,D,,,,1600.0,2600.0,,,,0,7,1
4,4,8,,0,1,1,9,C,,,,2100.0,1100.0,,,,0,7,1
5,5,9,,0,1,1,10,E,,,,1100.0,2100.0,,,,0,7,1
6,6,10,,0,1,1,11,I,,,,1300.0,1800.0,,,,0,7,1
7,7,11,,0,1,1,12,H,,,,1600.0,1600.0,,,,0,7,1
8,8,12,,0,1,1,13,L,,,,2800.0,2600.0,,,,0,7,1
9,9,13,,0,1,1,14,F,,,,1000.0,1700.0,,,,0,7,1
10,10,14,,0,1,1,15,G,,,,4400.0,3500.0,,,,1,7,1
11,11,15,,0,1,1,16,A,,,,1800.0,2100.0,,,,0,7,1
12,12,16,,0,1,2,17,H,,,,1600.0,2200.0,,,,0,7,1
13,13,17,,0,1,2,18,A,,,,1300.0,1100.0,,,,0,7,1
14,14,18,,0,1,2,19,I,,,,1100.0,2600.0,,,,0,7,1
15,15,19,,0,1,2,20,J,,,,1200.0,1200.0,,,,0,7,1
16,16,20,,0,1,2,21,E,,,,3500.0,1300.0,,,,1,7,1
17,17,21,,0,1,2,22,F,,,,1100.0,1300.0,,,,0,7,1
18,18,22,,0,1,2,23,K,,,,1800.0,2200.0,,,,0,7,1
19,19,23,,0,1,2,24,D,,,,2500.0,2300.0,,,,0,7,1
20,20,24,,0,1,2,25,B,,,,1200.0,3100.0,,,,0,7,1
21,21,25,,0,1,2,26,L,,,,3700.0,3000.0,,,,1,7,1
22,22,26,,0,1,2,27,C,,,,1600.0,3200.0,,,,0,7,1
23,23,27,,0,1,2,28,G,,,,1300.0,1300.0,,,,0,7,1
24,24,28,,0,1,3,29,C,,,,1400.0,1200.0,,,,0,7,1
25,25,29,,0,1,3,30,A,,,,1400.0,1700.0,,,,0,7,1
26,26,30,,0,1,3,31,G,,,,4700.0,1100.0,,,,1,7,1
27,27,31,,0,1,3,32,F,,,,2000.0,1900.0,,,,0,7,1
28,28,32,,0,1,3,33,I,,,,1300.0,2200.0,,,,0,7,1
29,29,33,,0,1,3,34,H,,,,2000.0,3200.0,,,,0,7,1
30,30,34,,0,1,3,35,B,,,,1500.0,1200.0,,,,0,7,1
31,31,35,,0,1,3,36,E,,,,3600.0,3100.0,,,,1,7,1
32,32,36,,0,1,3,37,L,,,,1300.0,2100.0,,,,0,7,1
33,33,37,,0,1,3,38,J,,,,2800.0,1500.0,,,,0,7,1
34,34,38,,0,1,3,39,D,,,,2300.0,1600.0,,,,0,7,1
35,35,39,,0,1,3,40,K,,,,1900.0,2400.0,,,,0,7,1
0,0,4,,0,1,1,5,K,,,,2300.0,1400.0,,,,0,8,1
1,1,5,,0,1,1,6,B,,,,2700.0,1900.0,,,,0,8,1
2,2,6,,0,1,1,7,J,,,,1000.0,2200.0,,,,0,8,1
3,3,7,,0,1,1,8,D,,,,1100.0,2100.0,,,,0,8,1
4,4,8,,0,1,1,9,C,,,,3300.0,3200.0,,,,1,8,1
5,5,9,,0,1,1,10,E,,,,1900.0,1900.0,,,,0,8,1
6,6,10,,0,1,1,11,I,,,,1200.0,1700.0,,,,0,8,1
7,7,11,,0,1,1,12,H,,,,1000.0,1300.0,,,,0,8,1
8,8,12,,0,1,1,13,L,,,,2600.0,1300.0,,,,0,8,1
9,9,13,,0,1,1,14,F,,,,4300.0,1900.0,,,,1,8,1
10,10,14,,0,1,1,15,G,,,,1600.0,3000.0,,,,0,8,1
11,11,15,,0,1,1,16,A,,,,1100.0,2300.0,,,,0,8,1
12,12,16,,0,1,2,17,H,,,,2500.0,1100.0,,,,0,8,1
13,13,17,,0,1,2,18,A,,,,2500.0,1100.0,,,,0,8,1
14,14,18,,0,1,2,19,I,,,,2400.0,1200.0,,,,0,8,1
15,15,19,,0,1,2,20,J,,,,2400.0,1500.0,,,,0,8,1
16,16,20,,0,1,2,21,E,,,,3200.0,2400.0,,,,1,8,1
17,17,21,,0,1,2,22,F,,,,1800.0,1600.0,,,,0,8,1
18,18,22,,0,1,2,23,K,,,,1400.0,1600.0,,,,0,8,1
19,19,23,,0,1,2,24,D,,,,1100.0,1200.0,,,,0,8,1
20,20,24,,0,1,2,25,B,,,,1600.0,2700.0,,,,0,8,1
21,21,25,,0,1,2,26,L,,,,2900.0,2300.0,,,,1,8,1
22,22,26,,0,1,2,27,C,,,,1500.0,1500.0,,,,0,8,1
23,23,27,,0,1,2,28,G,,,,1400.0,1200.0,,,,0,8,1
24,24,28,,0,1,3,29,C,,,,1700.0,2200.0,,,,0,8,1
25,25,29,,0,1,3,30,A,,,,2600.0,2900.0,,,,0,8,1
26,26,30,,0,1,3,31,G,,,,3500.0,1200.0,,,,1,8,1
27,27,31,,0,1,3,32,F,,,,1200.0,3000.0,,,,0,8,1
28,28,32,,0,1,3,33,I,,,,1300.0,1100.0,,,,0,8,1
29,29,33,,0,1,3,34,H,,,,1100.0,3300.0,,,,0,8,1
30,30,34,,0,1,3,35,B,,,,1500.0,3300.0,,,,0,8,1
31,31,35,,0,1,3,36,E,,,,2800.0,2700.0,,,,0,8,1
32,32,36,,0,1,3,37,L,,,,1200.0,1900.0,,,,0,8,1
33,33,37,,0,1,3,38,J,,,,2300.0,1900.0,,,,0,8,1
34,34,38,,0,1,3,39,D,,,,1100.0,2800.0,,,,0,8,1
35,35,39,,0,1,3,40,K,,,,2900.0,2100.0,,,,1,8,1
0,0,4,,0,1,1,5,K,,,,3200.0,1200.0,,,,1,9,1
1,1,5,,0,1,1,6,B,,,,2400.0,2800.0,,,,0,9,1
2,2,6,,0,1,1,7,J,,,,2600.0,1400.0,,,,0,9,1
3,3,7,,0,1,1,8,D,,,,2100.0,1100.0,,,,0,9,1
4,4,8,,0,1,1,9,C,,,,1300.0,2700.0,,,,0,9,1
5,5,9,,0,1,1,10,E,,,,1600.0,2000.0,,,,0,9,1
6,6,10,,0,1,1,11,I,,,,4000.0,1100.0,,,,1,9,1
7,7,11,,0,1,1,12,H,,,,2300.0,1000.0,,,,0,9,1
8,8,12,,0,1,1,13,L,,,,1300.0,1800.0,,,,0,9,1
9,9,13,,0,1,1,14,F,,,,1300.0,3200.0,,,,0,9,1
10,10,14,,0,1,1,15,G,,,,1800.0,1800.0,,,,0,9,1
11,11,15,,0,1,1,16,A,,,,2900.0,1700.0,,,,1,9,1
12,12,16,,0,1,2,17,H,,,,1800.0,3200.0,,,,0,9,1
13,13,17,,0,1,2,18,A,,,,1600.0,1900.0,,,,0,9,1
14,14,18,,0,1,2,19,I,,,,1800.0,1500.0,,,,0,9,1
15,15,19,,0,1,2,20,J,,,,1000.0,1900.0,,,,0,9,1
16,16,20,,0,1,2,21,E,,,,3900.0,1700.0,,,,1,9,1
17,17,21,,0,1,2,22,F,,,,1800.0,1900.0,,,,0,9,1
18,18,22,,0,1,2,23,K,,,,1000.0,2600.0,,,,0,9,1
19,19,23,,0,1,2,24,D,,,,1300.0,2800.0,,,,0,9,1
20,20,24,,0,1,2,25,B,,,,2400.0,1500.0,,,,0,9,1
21,21,25,,0,1,2,26,L,,,,1600.0,1300.0,,,,0,9,1
22,22,26,,0,1,2,27,C,,,,1400.0,2400.0,,,,0,9,1
23,23,27,,0,1,2,28,G,,,,3900.0,3200.0,,,,1,9,1
24,24,28,,0,1,3,29,C,,,,2000.0,2100.0,,,,0,9,1
25,25,29,,0,1,3,30,A,,,,2800.0,3200.0,,,,0,9,1
26,26,30,,0,1,3,31,G,,,,1700.0,1100.0,,,,0,9,1
27,27,31,,0,1,3,32,F,,,,1800.0,1300.0,,,,0,9,1
28,28,32,,0,1,3,33,I,,,,1600.0,1500.0,,,,0,9,1
29,29,33,,0,1,3,34,H,,,,1200.0,1500.0,,,,0,9,1
30,30,34,,0,1,3,35,B,,,,1500.0,1100.0,,,,0,9,1
31,31,35,,0,1,3,36,E,,,,3100.0,3200.0,,,,1,9,1
32,32,36,,0,1,3,37,L,,,,2300.0,1700.0,,,,0,9,1
33,33,37,,0,1,3,38,J,,,,1000.0,2300.0,,,,0,9,1
34,34,38,,0,1,3,39,D,,,,1400.0,3300.0,,,,0,9,1
35,35,39,,0,1,3,40,K,,,,1300.0,2000.0,,,,0,9,1
0,0,4,,0,1,1,5,K,,,,3600.0,2500.0,,,,1,10,1
1,1,5,,0,1,1,6,B,,,,2000.0,2400.0,,,,0,10,1
2,2,6,,0,1,1,7,J,,,,1900.0,1700.0,,,,0,10,1
3,3,7,,0,1,1,8,D,,,,1900.0,2800.0,,,,0,10,1
4,4,8,,0,1,1,9,C,,,,1400.0,3100.0,,,,0,10,1
5,5,9,,0,1,1,10,E,,,,1200.0,1700.0,,,,0,10,1
6,6,10,,0,1,1,11,I,,,,4500.0,2500.0,,,,1,10,1
7,7,11,,0,1,1,12,H,,,,2100.0,1700.0,,,,0,10,1
8,8,12,,0,1,1,13,L,,,,1300.0,1700.0,,,,0,10,1
9,9,13,,0,1,1,14,F,,,,2500.0,2000.0,,,,0,10,1
10,10,14,,0,1,1,15,G,,,,1100.0,2100.0,,,,0,10,1
11,11,15,,0,1,1,16,A,,,,1800.0,2300.0,,,,0,10,1
12,12,16,,0,1,2,17,H,,,,3400.0,1100.0,,,,1,10,1
13,13,17,,0,1,2,18,A,,,,1500.0,2100.0,,,,0,10,1
14,14,18,,0,1,2,19,I,,,,1700.0,1300.0,,,,0,10,1
15,15,19,,0,1,2,20,J,,,,1100.0,2200.0,,,,0,10,1
16,16,20,,0,1,2,21,E,,,,1100.0,1100.0,,,,0,10,1
17,17,21,,0,1,2,22,F,,,,1000.0,1500.0,,,,0,10,1
18,18,22,,0,1,2,23,K,,,,1100.0,1400.0,,,,0,10,1
19,19,23,,0,1,2,24,D,,,,1100.0,2500.0,,,,0,10,1
20,20,24,,0,1,2,25,B,,,,2700.0,3300.0,,,,0,10,1
21,21,25,,0,1,2,26,L,,,,2400.0,2100.0,,,,0,10,1
22,22,26,,0,1,2,27,C,,,,3000.0,1300.0,,,,1,10,1
23,23,27,,0,1,2,28,G,,,,1300.0,1400.0,,,,0,10,1
24,24,28,,0,1,3,29,C,,,,2000.0,3300.0,,,,0,10,1
25,25,29,,0,1,3,30,A,,,,2500.0,3100.0,,,,0,10,1
26,26,30,,0,1,3,31,G,,,,1000.0,1000.0,,,,0,10,1
27,27,31,,0,1,3,32,F,,,,2100.0,1400.0,,,,0,10,1
28,28,32,,0,1,3,33,I,,,,1800.0,1500.0,,,,0,10,1
29,29,33,,0,1,3,34,H,,,,2200.0,1400.0,,,,0,10,1
30,30,34,,0,1,3,35,B,,,,4500.0,2100.0,,,,1,10,1
