"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","age","PID","gender","rt","responses","view_history","repeat_instructions","key_press","response","index","stimulus_index","path","start_time_elapsed","run","task","isi","is_odd_ball","no_response","acc","duration","onset","duration_time_elapsed","onset_time_elapsed","trial_duration","missed_checkup","left_chosen","chosen_stimulus","unchosen_stimulus","chosen_category","unchosen_category","chosen_rating","unchosen_rating","chosen_path","unchosen_path","pair_id","practice","scramble_screen_time","scramble_instructed_side","stim_type","iti","block","left_stimulus","right_stimulus","left_category","right_category","left_path","right_path","left_rating","right_rating","warning","scramble_acc","scramble_no_response","stimulus_id","item_id","outcome","response_rt","deliberation_reward_tally"
"","rating","","html-slider-response","10","60577","0.0-1.0-7.0","24","65907","female","2700","","","","","74","5","13","Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","63379","0.0-1.0-8.0","24","65907","female","2797","","","","","74","6","46","Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","12","66555","0.0-1.0-9.0","24","65907","female","3171","","","","","68","7","0","Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","13","69889","0.0-1.0-10.0","24","65907","female","3328","","","","","31","8","42","Stimuli/Experimental_stims/objects/jess-bailey-nOeVi8DsN8U-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","14","73405","0.0-1.0-11.0","24","65907","female","3510","","","","","96","9","29","Stimuli/Experimental_stims/body_parts/manuel-schinner-ZwjFuJ7ebpk-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","15","77344","0.0-1.0-12.0","24","65907","female","3934","","","","","37","10","45","Stimuli/Experimental_stims/objects/leohoho-rngTKHXumy0-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","16","81690","0.0-1.0-13.0","24","65907","female","4341","","","","","32","11","16","Stimuli/Experimental_stims/faces/freddy-kearney-o-ioeoATbIM-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","17","85434","0.0-1.0-14.0","24","65907","female","3738","","","","","31","12","35","Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","18","88801","0.0-1.0-15.0","24","65907","female","3362","","","","","29","13","8","Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","19","92810","0.0-1.0-16.0","24","65907","female","4004","","","","","42","14","18","Stimuli/Experimental_stims/faces/jessica-radanavong-mrYkTuAesKE-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","20","96975","0.0-1.0-17.0","24","65907","female","4161","","","","","66","15","6","Stimuli/Experimental_stims/outdoor_scenes/meng-ji-8BH_M-53CyA-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","21","102677","0.0-1.0-18.0","24","65907","female","5694","","","","","74","16","2","Stimuli/Experimental_stims/outdoor_scenes/bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","22","107715","0.0-1.0-19.0","24","65907","female","5034","","","","","93","17","33","Stimuli/Experimental_stims/body_parts/tucker-good-36skLT5jZcc-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","23","111314","0.0-1.0-20.0","24","65907","female","3593","","","","","27","18","25","Stimuli/Experimental_stims/body_parts/engin-akyurt-Q2rfH3GW39c-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","24","116053","0.0-1.0-21.0","24","65907","female","4734","","","","","38","19","4","Stimuli/Experimental_stims/outdoor_scenes/jarrett-kow-1ZOyYPOBn7I-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","25","119412","0.0-1.0-22.0","24","65907","female","3353","","","","","61","20","11","Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","26","122482","0.0-1.0-23.0","24","65907","female","3065","","","","","39","21","47","Stimuli/Experimental_stims/objects/ronaldo-arthur-vidal-Cdz_lvnl37k-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","27","128659","0.0-1.0-24.0","24","65907","female","6171","","","","","31","22","39","Stimuli/Experimental_stims/objects/charlesdeluvio-1-nx1QR5dTE-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","28","132017","0.0-1.0-25.0","24","65907","female","3353","","","","","64","23","3","Stimuli/Experimental_stims/outdoor_scenes/henry-be-NLF6hTe4PAg-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","29","136692","0.0-1.0-26.0","24","65907","female","4669","","","","","27","24","34","Stimuli/Experimental_stims/body_parts/wagner-santos-mBWMvIuVnso-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","30","139883","0.0-1.0-27.0","24","65907","female","3186","","","","","76","25","27","Stimuli/Experimental_stims/body_parts/heike-mintel-i_Gns0ELnLw-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","31","143028","0.0-1.0-28.0","24","65907","female","3139","","","","","37","26","43","Stimuli/Experimental_stims/objects/jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","32","147667","0.0-1.0-29.0","24","65907","female","4634","","","","","67","27","40","Stimuli/Experimental_stims/objects/fabian-blank-pElSkGRA2NU-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","33","150642","0.0-1.0-30.0","24","65907","female","2972","","","","","44","28","38","Stimuli/Experimental_stims/objects/art-lasovsky-8XddFc6NkBY-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","34","153882","0.0-1.0-31.0","24","65907","female","3234","","","","","38","29","9","Stimuli/Experimental_stims/outdoor_scenes/sergey-pesterev-y-b_FOmJXdg-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","35","157497","0.0-1.0-32.0","24","65907","female","3610","","","","","69","30","19","Stimuli/Experimental_stims/faces/joel-mott-LaK153ghdig-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","36","160725","0.0-1.0-33.0","24","65907","female","3222","","","","","57","31","24","Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","37","163075","0.0-1.0-34.0","24","65907","female","2344","","","","","80","32","14","Stimuli/Experimental_stims/faces/david-siglin-UuW4psOb388-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","38","165185","0.0-1.0-35.0","24","65907","female","2102","","","","","59","33","44","Stimuli/Experimental_stims/objects/kuiye-chen-NuOGFo4PudE-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","39","167363","0.0-1.0-36.0","24","65907","female","2174","","","","","37","34","15","Stimuli/Experimental_stims/faces/erik-lucatero-d2MSDujJl2g-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","40","170181","0.0-1.0-37.0","24","65907","female","2813","","","","","30","35","1","Stimuli/Experimental_stims/outdoor_scenes/ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","41","172918","0.0-1.0-38.0","24","65907","female","2728","","","","","42","36","22","Stimuli/Experimental_stims/faces/ravi-patel-VMGAbeeJTKo-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","42","175803","0.0-1.0-39.0","24","65907","female","2879","","","","","38","37","26","Stimuli/Experimental_stims/body_parts/engin-akyurt-x_3gyC42btc-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","43","179105","0.0-1.0-40.0","24","65907","female","3293","","","","","35","38","31","Stimuli/Experimental_stims/body_parts/sincerely-media-VN6DbKajo5s-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","44","182371","0.0-1.0-41.0","24","65907","female","3260","","","","","34","39","36","Stimuli/Experimental_stims/objects/alexander-andrews-JYGnB9gTCls-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","45","185293","0.0-1.0-42.0","24","65907","female","2917","","","","","39","40","28","Stimuli/Experimental_stims/body_parts/ira-vishnevskaya-8DQAvdCby1I-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","46","189025","0.0-1.0-43.0","24","65907","female","3725","","","","","61","41","20","Stimuli/Experimental_stims/faces/justin-chen-J7Cf1Gch49E-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","47","192356","0.0-1.0-44.0","24","65907","female","3327","","","","","72","42","41","Stimuli/Experimental_stims/objects/insung-yoon-w2JtIQQXoRU-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","48","195605","0.0-1.0-45.0","24","65907","female","3244","","","","","66","43","7","Stimuli/Experimental_stims/outdoor_scenes/petr-vysohlid-9fqwGqGLUxc-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","49","198883","0.0-1.0-46.0","24","65907","female","3274","","","","","76","44","5","Stimuli/Experimental_stims/outdoor_scenes/jeff-king-bJHWJeiHfHc-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","50","202067","0.0-1.0-47.0","24","65907","female","3178","","","","","38","45","30","Stimuli/Experimental_stims/body_parts/mika-korhonen-Xodzxosar18-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","51","204892","0.0-1.0-48.0","24","65907","female","2821","","","","","38","46","32","Stimuli/Experimental_stims/body_parts/towfiqu-barbhuiya-3AsiVDsZnHg-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","52","207668","0.0-1.0-49.0","24","65907","female","2771","","","","","40","47","21","Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer_instructions","","instructions","53","257071","0.0-2.0-0.0-0.0","24","65907","female","49356","","[{""page_index"":0,""viewing_time"":20753},{""page_index"":1,""viewing_time"":11081},{""page_index"":2,""viewing_time"":17522}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer_comprehension_check","","survey-multi-choice","54","273839","0.0-2.0-0.0-1.0","24","65907","female","16760","{""Q0"":""True"",""Q1"":""K"",""Q2"":""D""}","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","55","277425","0.0-2.0-1.0","24","65907","female","3581","","","","68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","56","277830","0.0-2.0-2.0-0.0","24","65907","female","NaN","","","","null","NaN","0","","Stimuli/Practice_stims/Localizer/annie-spratt-g9KFpAfQ5bc-unsplash.jpg","277425","0","NaN","","0","1","0","400","0","405","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","57","278141","0.0-2.0-2.0-1.0","24","65907","female","null","","","","null","","0","","","277830","0","","","","","","300","400","311","405","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","58","278549","0.0-2.0-2.1-0.1","24","65907","female","NaN","","","","null","NaN","0","","Stimuli/Practice_stims/Localizer/annie-spratt-g9KFpAfQ5bc-unsplash.jpg","278141","0","NaN","","0","1","0","400","700","408","716","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","59","278854","0.0-2.0-2.1-1.1","24","65907","female","null","","","","null","","0","","","278549","0","","","","","","300","1100","305","1124","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","60","279259","0.0-2.0-2.2-0.2","24","65907","female","NaN","","","","null","NaN","0","","Stimuli/Practice_stims/Localizer/annie-spratt-g9KFpAfQ5bc-unsplash.jpg","278854","0","NaN","","0","1","0","400","1400","405","1429","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","61","279564","0.0-2.0-2.2-1.2","24","65907","female","null","","","","null","","0","","","279259","0","","","","","","300","1800","305","1834","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","62","279970","0.0-2.0-2.3-0.3","24","65907","female","NaN","","","","null","NaN","0","","Stimuli/Practice_stims/Localizer/annie-spratt-g9KFpAfQ5bc-unsplash.jpg","279564","0","NaN","","0","1","0","400","2100","406","2139","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","63","280275","0.0-2.0-2.3-1.3","24","65907","female","null","","","","null","","0","","","279970","0","","","","","","300","2500","305","2545","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","64","280681","0.0-2.0-2.4-0.4","24","65907","female","17","","","","68","0","0","","Stimuli/Practice_stims/Localizer/annie-spratt-g9KFpAfQ5bc-unsplash.jpg","280275","0","NaN","","0","0","1","400","2800","406","2850","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","65","280987","0.0-2.0-2.4-1.4","24","65907","female","null","","","","null","","0","","","280681","0","","","","","","300","3200","306","3256","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","66","281394","0.0-2.0-3.0-0.0","24","65907","female","266","","","","68","0","1","","Stimuli/Practice_stims/Localizer/becca-tapert-sY5RjMB1KkE-unsplash.jpg","280987","0","NaN","","0","0","1","400","3500","407","3562","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","67","281699","0.0-2.0-3.0-1.0","24","65907","female","null","","","","null","","1","","","281394","0","","","","","","300","3900","305","3969","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","68","282105","0.0-2.0-4.0-0.0","24","65907","female","376","","","","68","0","2","","Stimuli/Practice_stims/Localizer/charl-durand-bsfXvI25iNg-unsplash.jpg","281699","0","NaN","","1","0","0","400","4200","406","4274","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","69","282410","0.0-2.0-4.0-1.0","24","65907","female","null","","","","null","","2","","","282105","0","","","","","","300","4600","305","4680","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","70","282815","0.0-2.0-5.0-0.0","24","65907","female","NaN","","","","null","NaN","3","","Stimuli/Practice_stims/Localizer/nizar-albusaidy-B2r2SWAf5CE-unsplash.jpg","282410","0","NaN","","0","1","0","400","4900","405","4985","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","71","283120","0.0-2.0-5.0-1.0","24","65907","female","null","","","","null","","3","","","282815","0","","","","","","300","5300","305","5390","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","72","283525","0.0-2.0-5.1-0.1","24","65907","female","300","","","","68","0","3","","Stimuli/Practice_stims/Localizer/nizar-albusaidy-B2r2SWAf5CE-unsplash.jpg","283120","0","NaN","","0","0","1","400","5600","405","5695","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","73","283830","0.0-2.0-5.1-1.1","24","65907","female","null","","","","null","","3","","","283525","0","","","","","","300","6000","305","6100","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","74","284235","0.0-2.0-6.0-0.0","24","65907","female","254","","","","68","0","4","","Stimuli/Practice_stims/Localizer/randy-fath-epf1tdtIIkM-unsplash.jpg","283830","0","NaN","","1","0","0","400","6300","405","6405","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","75","284541","0.0-2.0-6.0-1.0","24","65907","female","null","","","","null","","4","","","284235","0","","","","","","300","6700","306","6810","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","76","284948","0.0-2.0-7.0-0.0","24","65907","female","168","","","","75","1","5","","Stimuli/Practice_stims/Localizer/yassine-khalfalli-adsQ9d_Cx0c-unsplash.jpg","284541","0","NaN","","0","0","0","400","7000","407","7116","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","77","285255","0.0-2.0-7.0-1.0","24","65907","female","null","","","","null","","5","","","284948","0","","","","","","300","7400","307","7523","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","practice_over","","html-keyboard-response","78","285650","0.0-2.0-7.0-2.0-0.0","24","65907","female","392","","","","68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_run","","html-keyboard-response","79","288235","0.0-2.0-7.0-2.0-1.0","24","65907","female","2581","","","","84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","80","288641","0.0-2.0-8.0-0.0","24","65907","female","NaN","","","","null","NaN","6","","Stimuli/Experimental_stims/localizer/faces/allef-vinicius-C_1jjFJioWg-unsplash.jpg","288235","1","faces","","0","1","0","400","0","406","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","81","288947","0.0-2.0-8.0-1.0","24","65907","female","null","","","","null","","6","","","288641","1","","","","","","300","400","306","406","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","82","289355","0.0-2.0-9.0-0.0","24","65907","female","236","","","","68","0","7","","Stimuli/Experimental_stims/localizer/faces/ayo-ogunseinde-sibVwORYqs0-unsplash.jpg","288947","1","faces","","1","0","0","400","700","408","712","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","83","289659","0.0-2.0-9.0-1.0","24","65907","female","null","","","","null","","7","","","289355","1","","","","","","300","1100","304","1120","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","84","290065","0.0-2.0-10.0-0.0","24","65907","female","300","","","","75","1","8","","Stimuli/Experimental_stims/localizer/faces/abstral-official-cyOKLSgkgCE-unsplash.jpg","289659","1","faces","","0","0","0","400","1400","406","1424","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","85","290370","0.0-2.0-10.0-1.0","24","65907","female","null","","","","null","","8","","","290065","1","","","","","","300","1800","305","1830","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","86","290776","0.0-2.0-11.0-0.0","24","65907","female","171","","","","68","0","9","","Stimuli/Experimental_stims/localizer/faces/hisu-lee-2qvxIr_DXGo-unsplash.jpg","290370","1","faces","","0","0","1","400","2100","406","2135","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","87","291082","0.0-2.0-11.0-1.0","24","65907","female","null","","","","null","","9","","","290776","1","","","","","","300","2500","306","2541","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","88","291488","0.0-2.0-12.0-0.0","24","65907","female","309","","","","68","0","10","","Stimuli/Experimental_stims/localizer/faces/austin-wade-X6Uj51n5CE8-unsplash.jpg","291082","1","faces","","0","0","1","400","2800","406","2847","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","89","291793","0.0-2.0-12.0-1.0","24","65907","female","null","","","","null","","10","","","291488","1","","","","","","300","3200","305","3253","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","90","292199","0.0-2.0-13.0-0.0","24","65907","female","292","","","","68","0","11","","Stimuli/Experimental_stims/localizer/faces/darshan-patel-QJEVpydulGs-unsplash.jpg","291793","1","faces","","0","0","1","400","3500","406","3558","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","91","292504","0.0-2.0-13.0-1.0","24","65907","female","null","","","","null","","11","","","292199","1","","","","","","300","3900","305","3964","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","92","292909","0.0-2.0-14.0-0.0","24","65907","female","165","","","","68","0","12","","Stimuli/Experimental_stims/localizer/faces/aleksandar-popovski-Jy4ELSGPHTc-unsplash.jpg","292504","1","faces","","0","0","1","400","4200","405","4269","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","93","293216","0.0-2.0-14.0-1.0","24","65907","female","null","","","","null","","12","","","292909","1","","","","","","300","4600","307","4674","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","94","293621","0.0-2.0-15.0-0.0","24","65907","female","99","","","","68","0","13","","Stimuli/Experimental_stims/localizer/faces/ethan-haddox-__ng3cRXmFE-unsplash.jpg","293216","1","faces","","0","0","1","400","4900","405","4981","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
