"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","age","PID","gender","rt","responses","view_history","repeat_instructions","key_press","response","index","stimulus_index","path","start_time_elapsed","left_chosen","chosen_stimulus","unchosen_stimulus","chosen_category","unchosen_category","chosen_rating","unchosen_rating","chosen_path","unchosen_path","no_response","pair_id","practice","scramble_screen_time","scramble_instructed_side","stim_type","iti","block","run","left_stimulus","right_stimulus","left_category","right_category","left_path","right_path","left_rating","right_rating","duration","onset","duration_time_elapsed","onset_time_elapsed","trial_duration","scramble_acc","scramble_no_response","warning","chosen_left","old_pair","pair_type","old_response","pair_acc","choice_type","reward_type","stimulus_id","outcome_response","outcome_rt","outcome_acc"
"","rating","","html-slider-response","10","13840","0.0-1.0-7.0","11","36963","11","168","","","","","50","5","13","Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","14002","0.0-1.0-8.0","11","36963","11","158","","","","","50","6","46","Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","12","14170","0.0-1.0-9.0","11","36963","11","165","","","","","50","7","0","Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","13","14334","0.0-1.0-10.0","11","36963","11","160","","","","","50","8","42","Stimuli/Experimental_stims/objects/jess-bailey-nOeVi8DsN8U-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","14","14505","0.0-1.0-11.0","11","36963","11","168","","","","","50","9","29","Stimuli/Experimental_stims/body_parts/manuel-schinner-ZwjFuJ7ebpk-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","15","14665","0.0-1.0-12.0","11","36963","11","157","","","","","50","10","45","Stimuli/Experimental_stims/objects/leohoho-rngTKHXumy0-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","16","14851","0.0-1.0-13.0","11","36963","11","183","","","","","50","11","16","Stimuli/Experimental_stims/faces/freddy-kearney-o-ioeoATbIM-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","17","15015","0.0-1.0-14.0","11","36963","11","161","","","","","50","12","35","Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","18","15181","0.0-1.0-15.0","11","36963","11","164","","","","","50","13","8","Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","19","15354","0.0-1.0-16.0","11","36963","11","170","","","","","50","14","18","Stimuli/Experimental_stims/faces/jessica-radanavong-mrYkTuAesKE-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","20","15539","0.0-1.0-17.0","11","36963","11","182","","","","","50","15","6","Stimuli/Experimental_stims/outdoor_scenes/meng-ji-8BH_M-53CyA-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","21","15718","0.0-1.0-18.0","11","36963","11","177","","","","","50","16","2","Stimuli/Experimental_stims/outdoor_scenes/bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","22","15896","0.0-1.0-19.0","11","36963","11","175","","","","","50","17","33","Stimuli/Experimental_stims/body_parts/tucker-good-36skLT5jZcc-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","23","16076","0.0-1.0-20.0","11","36963","11","178","","","","","50","18","25","Stimuli/Experimental_stims/body_parts/engin-akyurt-Q2rfH3GW39c-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","24","16253","0.0-1.0-21.0","11","36963","11","172","","","","","50","19","4","Stimuli/Experimental_stims/outdoor_scenes/jarrett-kow-1ZOyYPOBn7I-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","25","16433","0.0-1.0-22.0","11","36963","11","177","","","","","50","20","11","Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","26","16619","0.0-1.0-23.0","11","36963","11","183","","","","","50","21","47","Stimuli/Experimental_stims/objects/ronaldo-arthur-vidal-Cdz_lvnl37k-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","27","16797","0.0-1.0-24.0","11","36963","11","175","","","","","50","22","39","Stimuli/Experimental_stims/objects/charlesdeluvio-1-nx1QR5dTE-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","28","16975","0.0-1.0-25.0","11","36963","11","175","","","","","50","23","3","Stimuli/Experimental_stims/outdoor_scenes/henry-be-NLF6hTe4PAg-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","29","17161","0.0-1.0-26.0","11","36963","11","183","","","","","50","24","34","Stimuli/Experimental_stims/body_parts/wagner-santos-mBWMvIuVnso-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","30","17346","0.0-1.0-27.0","11","36963","11","182","","","","","50","25","27","Stimuli/Experimental_stims/body_parts/heike-mintel-i_Gns0ELnLw-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","31","17531","0.0-1.0-28.0","11","36963","11","182","","","","","50","26","43","Stimuli/Experimental_stims/objects/jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","32","17744","0.0-1.0-29.0","11","36963","11","210","","","","","50","27","40","Stimuli/Experimental_stims/objects/fabian-blank-pElSkGRA2NU-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","33","17927","0.0-1.0-30.0","11","36963","11","180","","","","","50","28","38","Stimuli/Experimental_stims/objects/art-lasovsky-8XddFc6NkBY-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","34","18118","0.0-1.0-31.0","11","36963","11","188","","","","","50","29","9","Stimuli/Experimental_stims/outdoor_scenes/sergey-pesterev-y-b_FOmJXdg-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","35","18296","0.0-1.0-32.0","11","36963","11","175","","","","","50","30","19","Stimuli/Experimental_stims/faces/joel-mott-LaK153ghdig-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","36","18481","0.0-1.0-33.0","11","36963","11","182","","","","","50","31","24","Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","37","18660","0.0-1.0-34.0","11","36963","11","175","","","","","50","32","14","Stimuli/Experimental_stims/faces/david-siglin-UuW4psOb388-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","38","18845","0.0-1.0-35.0","11","36963","11","182","","","","","50","33","44","Stimuli/Experimental_stims/objects/kuiye-chen-NuOGFo4PudE-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","39","19028","0.0-1.0-36.0","11","36963","11","180","","","","","50","34","15","Stimuli/Experimental_stims/faces/erik-lucatero-d2MSDujJl2g-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","40","19243","0.0-1.0-37.0","11","36963","11","212","","","","","50","35","1","Stimuli/Experimental_stims/outdoor_scenes/ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","41","19436","0.0-1.0-38.0","11","36963","11","189","","","","","50","36","22","Stimuli/Experimental_stims/faces/ravi-patel-VMGAbeeJTKo-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","42","19619","0.0-1.0-39.0","11","36963","11","181","","","","","50","37","26","Stimuli/Experimental_stims/body_parts/engin-akyurt-x_3gyC42btc-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","43","19800","0.0-1.0-40.0","11","36963","11","178","","","","","50","38","31","Stimuli/Experimental_stims/body_parts/sincerely-media-VN6DbKajo5s-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","44","19986","0.0-1.0-41.0","11","36963","11","184","","","","","50","39","36","Stimuli/Experimental_stims/objects/alexander-andrews-JYGnB9gTCls-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","45","20178","0.0-1.0-42.0","11","36963","11","190","","","","","50","40","28","Stimuli/Experimental_stims/body_parts/ira-vishnevskaya-8DQAvdCby1I-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","46","20715","0.0-1.0-43.0","11","36963","11","535","","","","","50","41","20","Stimuli/Experimental_stims/faces/justin-chen-J7Cf1Gch49E-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","47","20908","0.0-1.0-44.0","11","36963","11","191","","","","","50","42","41","Stimuli/Experimental_stims/objects/insung-yoon-w2JtIQQXoRU-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","48","21104","0.0-1.0-45.0","11","36963","11","193","","","","","50","43","7","Stimuli/Experimental_stims/outdoor_scenes/petr-vysohlid-9fqwGqGLUxc-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","49","21274","0.0-1.0-46.0","11","36963","11","167","","","","","50","44","5","Stimuli/Experimental_stims/outdoor_scenes/jeff-king-bJHWJeiHfHc-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","50","21462","0.0-1.0-47.0","11","36963","11","186","","","","","50","45","30","Stimuli/Experimental_stims/body_parts/mika-korhonen-Xodzxosar18-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","51","21647","0.0-1.0-48.0","11","36963","11","182","","","","","50","46","32","Stimuli/Experimental_stims/body_parts/towfiqu-barbhuiya-3AsiVDsZnHg-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","52","21833","0.0-1.0-49.0","11","36963","11","182","","","","","50","47","21","Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","deliberation_instructions","","instructions","53","26245","0.0-3.0-0.0-0.0","11","36963","11","4373","","[{""page_index"":0,""viewing_time"":1719},{""page_index"":1,""viewing_time"":207},{""page_index"":2,""viewing_time"":261},{""page_index"":3,""viewing_time"":497},{""page_index"":4,""viewing_time"":426},{""page_index"":5,""viewing_time"":784},{""page_index"":6,""viewing_time"":478}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","deliberation_comprehension_check","","survey-multi-choice","54","34075","0.0-3.0-0.0-1.0","11","36963","11","7826","{""Q0"":""True"",""Q1"":""True"",""Q2"":""Wait until an arrow comes up and then select the image the arrow is pointing at"",""Q3"":""Consider carefully and take your time (up to 3 seconds)"",""Q4"":""D""}","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","55","35593","0.0-3.0-1.0","11","36963","11","1515","","","","68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","deliberation","","html-keyboard-response","56","36024","0.0-3.0-2.0-0.0","11","36963","11","427","","","","75","","0","","","35593","0","","","","","","","Stimuli/Practice_stims/Deliberation/becca-tapert-sY5RjMB1KkE-unsplash.jpg","Stimuli/Practice_stims/Deliberation/anthony-delanoix-Q0-fOL2nqZc-unsplash.jpg","0","prac1","1","0","","original","1500","0","0","","","","","Stimuli/Practice_stims/Deliberation/anthony-delanoix-Q0-fOL2nqZc-unsplash.jpg","Stimuli/Practice_stims/Deliberation/becca-tapert-sY5RjMB1KkE-unsplash.jpg","","","427","0","431","0","","","","","","","","","","","","","","",""
"","deliberation_confirmation","","html-keyboard-response","57","36606","0.0-3.0-2.0-2.0-0.0","11","36963","11","null","","","","null","","0","","","36024","","","","","","","","","","","","","","","","","0","","","","","","","","","","573","427","582","431","573","","","","","","","","","","","","","",""
"","iti","","html-keyboard-response","58","36717","0.0-3.0-2.0-4.0","11","36963","11","null","","","","null","","0","","","36606","","","","","","","","","","","","","","","","","0","","","","","","","","","","100","1000","111","1013","100","","","","","","","","","","","","","",""
"","deliberation","","html-keyboard-response","59","39225","0.0-3.0-4.0-0.0","11","36963","11","67","","","","75","","1","","","36717","","","","","","","","","","0","prac2","1","2500","left","scramble","2500","0","0","","","","","Stimuli/Practice_stims/Deliberation/scramble/scrambled_clay-banks-1KPfcPdbWFM-unsplash.jpg","Stimuli/Practice_stims/Deliberation/scramble/scrambled_melissa-keizer-sV4Pd8wq5_o-unsplash.jpg","","","2500","1100","2508","1124","","","","","","","","","","","","","","",""
"","scramble_prompt","","html-keyboard-response","60","39229","0.0-3.0-4.0-1.0-0.0","11","36963","11","null","","","","null","","1","","","39225","NaN","NaN","NaN","NaN","NaN","","","NaN","NaN","","","","","","","","0","","","","","","","","","","-1500","3600","4","3632","-1500","0","1","","","","","","","","","","","",""
"","deliberation_no_response","","html-keyboard-response","61","39336","0.0-3.0-4.0-3.0-0.0","11","36963","11","null","","","","null","","1","","","39229","","","","","","","","","","1","","","","","","","0","","","","","","","","","","100","2100","107","3636","","","","1","","","","","","","","","","",""
"","iti","","html-keyboard-response","62","39443","0.0-3.0-4.0-4.0","11","36963","11","null","","","","null","","1","","","39336","","","","","","","","","","","","","","","","","0","","","","","","","","","","100","2200","107","3743","100","","","","","","","","","","","","","",""
"","deliberation","","html-keyboard-response","63","40957","0.0-3.0-6.0-0.0","11","36963","11","95","","","","75","","2","","","39443","","","","","","","","","","0","prac3","1","1500","right","scramble","3000","0","0","","","","","Stimuli/Practice_stims/Deliberation/scramble/scrambled_anthony-delanoix-Q0-fOL2nqZc-unsplash.jpg","Stimuli/Practice_stims/Deliberation/scramble/scrambled_becca-tapert-sY5RjMB1KkE-unsplash.jpg","","","1500","2300","1514","3850","","","","","","","","","","","","","","",""
"","scramble_prompt","","html-keyboard-response","64","40966","0.0-3.0-6.0-1.0-0.0","11","36963","11","null","","","","null","","2","","","40957","NaN","NaN","NaN","NaN","NaN","","","NaN","NaN","","","","","","","","0","","","","","","","","","","-500","3800","9","5364","-500","0","1","","","","","","","","","","","",""
"","deliberation_no_response","","html-keyboard-response","65","41078","0.0-3.0-6.0-3.0-0.0","11","36963","11","null","","","","null","","2","","","40966","","","","","","","","","","1","","","","","","","0","","","","","","","","","","100","3300","112","5373","","","","1","","","","","","","","","","",""
"","iti","","html-keyboard-response","66","41192","0.0-3.0-6.0-4.0","11","36963","11","null","","","","null","","2","","","41078","","","","","","","","","","","","","","","","","0","","","","","","","","","","100","3400","114","5485","100","","","","","","","","","","","","","",""
"","deliberation","","html-keyboard-response","67","41267","0.0-3.0-8.0-0.0","11","36963","11","72","","","","75","","3","","","41192","0","","","","","","","Stimuli/Practice_stims/Deliberation/melissa-keizer-sV4Pd8wq5_o-unsplash.jpg","Stimuli/Practice_stims/Deliberation/clay-banks-1KPfcPdbWFM-unsplash.jpg","0","prac4","1","0","","original","2000","0","0","","","","","Stimuli/Practice_stims/Deliberation/clay-banks-1KPfcPdbWFM-unsplash.jpg","Stimuli/Practice_stims/Deliberation/melissa-keizer-sV4Pd8wq5_o-unsplash.jpg","","","72","3500","75","5599","","","","","","","","","","","","","","",""
"","deliberation_confirmation","","html-keyboard-response","68","42206","0.0-3.0-8.0-2.0-0.0","11","36963","11","null","","","","null","","3","","","41267","","","","","","","","","","","","","","","","","0","","","","","","","","","","928","3572","939","5674","928","","","","","","","","","","","","","",""
"","iti","","html-keyboard-response","69","42320","0.0-3.0-8.0-4.0","11","36963","11","null","","","","null","","3","","","42206","","","","","","","","","","","","","","","","","0","","","","","","","","","","100","4500","114","6613","100","","","","","","","","","","","","","",""
"","practice_over","","html-keyboard-response","70","46319","0.0-3.0-8.0-5.0-0.0","11","36963","11","3997","","","","68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_run","","html-keyboard-response","71","47807","0.0-3.0-8.0-5.0-1.0","11","36963","11","1486","","","","84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","deliberation","","html-keyboard-response","72","49121","0.0-3.0-10.0-0.0","11","36963","11","455","","","","75","","4","","","47807","","","","","","","","","","0","D","0","1300","right","scramble","3300","1","1","43","17","objects","faces","Stimuli/Experimental_stims/scramble/objects/scrambled_jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg","Stimuli/Experimental_stims/scramble/faces/scrambled_good-faces-xmSWVeGEnJw-unsplash.jpg","NaN","NaN","1300","0","1314","0","","","","","","","","","","","","","","",""
"","scramble_prompt","","html-keyboard-response","73","49125","0.0-3.0-10.0-1.0-0.0","11","36963","11","null","","","","null","","4","","","49121","NaN","NaN","NaN","NaN","NaN","","","NaN","NaN","","","","","","","","1","","","","","","","","","","-300","1300","4","1314","-300","0","1","","","","","","","","","","","",""
"","deliberation_no_response","","html-keyboard-response","74","49240","0.0-3.0-10.0-3.0-0.0","11","36963","11","null","","","","null","","4","","","49125","","","","","","","","","","1","","","","","","","1","","","","","","","","","","100","1000","115","1318","","","","1","","","","","","","","","","",""
"","iti","","html-keyboard-response","75","49343","0.0-3.0-10.0-4.0","11","36963","11","null","","","","null","","4","","","49240","","","","","","","","","","","","","","","","","1","","","","","","","","","","100","1100","103","1433","100","","","","","","","","","","","","","",""
"","deliberation","","html-keyboard-response","76","50852","0.0-3.0-12.0-0.0","11","36963","11","304","","","","75","","5","","","49343","","","","","","","","","","0","B","0","1500","right","scramble","1100","1","1","0","15","outdoor_scenes","faces","Stimuli/Experimental_stims/scramble/outdoor_scenes/scrambled_aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg","Stimuli/Experimental_stims/scramble/faces/scrambled_erik-lucatero-d2MSDujJl2g-unsplash.jpg","NaN","NaN","1500","1200","1509","1536","","","","","","","","","","","","","","",""
"","scramble_prompt","","html-keyboard-response","77","50860","0.0-3.0-12.0-1.0-0.0","11","36963","11","null","","","","null","","5","","","50852","NaN","NaN","NaN","NaN","NaN","","","NaN","NaN","","","","","","","","1","","","","","","","","","","-500","2700","8","3045","-500","0","1","","","","","","","","","","","",""
"","deliberation_no_response","","html-keyboard-response","78","50967","0.0-3.0-12.0-3.0-0.0","11","36963","11","null","","","","null","","5","","","50860","","","","","","","","","","1","","","","","","","1","","","","","","","","","","100","2200","107","3053","","","","1","","","","","","","","","","",""
"","iti","","html-keyboard-response","79","51076","0.0-3.0-12.0-4.0","11","36963","11","null","","","","null","","5","","","50967","","","","","","","","","","","","","","","","","1","","","","","","","","","","100","2300","109","3160","100","","","","","","","","","","","","","",""
"","deliberation","","html-keyboard-response","80","51087","0.0-3.0-14.0-0.0","11","36963","11","8","","","","75","","6","","","51076","0","37","6","objects","outdoor_scenes","50","50","Stimuli/Experimental_stims/objects/alexander-andrews-VLGWE_SumrA-unsplash.jpg","Stimuli/Experimental_stims/outdoor_scenes/meng-ji-8BH_M-53CyA-unsplash.jpg","0","A","0","0","","original","1800","1","1","6","37","outdoor_scenes","objects","Stimuli/Experimental_stims/outdoor_scenes/meng-ji-8BH_M-53CyA-unsplash.jpg","Stimuli/Experimental_stims/objects/alexander-andrews-VLGWE_SumrA-unsplash.jpg","50","50","8","2400","11","3269","","","","","","","","","","","","","","",""
"","deliberation_confirmation","","html-keyboard-response","81","52087","0.0-3.0-14.0-2.0-0.0","11","36963","11","null","","","","null","","6","","","51087","","","","","","","","","","","","","","","","","1","","","","","","","","","","992","2408","1000","3280","992","","","","","","","","","","","","","",""
"","iti","","html-keyboard-response","82","52199","0.0-3.0-14.0-4.0","11","36963","11","null","","","","null","","6","","","52087","","","","","","","","","","","","","","","","","1","","","","","","","","","","100","3400","112","4280","100","","","","","","","","","","","","","",""
"","deliberation","","html-keyboard-response","83","52507","0.0-3.0-16.0-0.0","11","36963","11","304","","","","75","","7","","","52199","0","28","36","body_parts","objects","50","50","Stimuli/Experimental_stims/body_parts/ira-vishnevskaya-8DQAvdCby1I-unsplash.jpg","Stimuli/Experimental_stims/objects/alexander-andrews-JYGnB9gTCls-unsplash.jpg","0","E","0","0","","original","1500","1","1","36","28","objects","body_parts","Stimuli/Experimental_stims/objects/alexander-andrews-JYGnB9gTCls-unsplash.jpg","Stimuli/Experimental_stims/body_parts/ira-vishnevskaya-8DQAvdCby1I-unsplash.jpg","50","50","304","3500","308","4392","","","","","","","","","","","","","","",""
"","deliberation_confirmation","","html-keyboard-response","84","53217","0.0-3.0-16.0-2.0-0.0","11","36963","11","null","","","","null","","7","","","52507","","","","","","","","","","","","","","","","","1","","","","","","","","","","696","3804","710","4700","696","","","","","","","","","","","","","",""
"","iti","","html-keyboard-response","85","53326","0.0-3.0-16.0-4.0","11","36963","11","null","","","","null","","7","","","53217","","","","","","","","","","","","","","","","","1","","","","","","","","","","100","4500","109","5410","100","","","","","","","","","","","","","",""
"","deliberation","","html-keyboard-response","86","55136","0.0-3.0-18.0-0.0","11","36963","11","155","","","","75","","8","","","53326","","","","","","","","","","0","K","0","1800","left","scramble","2200","1","1","26","40","body_parts","objects","Stimuli/Experimental_stims/scramble/body_parts/scrambled_engin-akyurt-x_3gyC42btc-unsplash.jpg","Stimuli/Experimental_stims/scramble/objects/scrambled_fabian-blank-pElSkGRA2NU-unsplash.jpg","NaN","NaN","1800","4600","1810","5519","","","","","","","","","","","","","","",""
