"","PID","trial","pair_id","stim_type","practice","run","block","left_category","right_category","left_stimulus","right_stimulus","left_path","right_path","left_rating","right_rating","iti","scramble_screen_time","scramble_instructed_side","scramble_acc","no_response","rt","left_chosen","chosen_stimulus","unchosen_stimulus","chosen_category","unchosen_category","chosen_path","unchosen_path","version"
"38",NA,38,"I","scramble",0,1,2,"body_parts","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,2000,1300,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"39",NA,39,"C","scramble",0,1,2,"outdoor_scenes","body_parts",NA,NA,"NaN","NaN",NA,NA,1000,1600,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"40",NA,40,"K","original",0,1,2,"body_parts","objects",NA,NA,"NaN","NaN",NA,NA,4500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"41",NA,41,"H","scramble",0,1,2,"faces","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,3500,700,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"42",NA,42,"A","scramble",0,1,2,"outdoor_scenes","objects",NA,NA,"NaN","NaN",NA,NA,1500,1200,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"43",NA,43,"C","original",0,1,2,"outdoor_scenes","body_parts",NA,NA,"NaN","NaN",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"44",NA,44,"A","original",0,1,2,"outdoor_scenes","objects",NA,NA,"NaN","NaN",NA,NA,1500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"45",NA,45,"F","scramble",0,1,2,"faces","body_parts",NA,NA,"NaN","NaN",NA,NA,2500,1800,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"46",NA,46,"J","original",0,1,2,"faces","objects",NA,NA,"NaN","NaN",NA,NA,4500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"47",NA,47,"D","scramble",0,1,2,"objects","faces",NA,NA,"NaN","NaN",NA,NA,2500,1900,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"48",NA,48,"H","original",0,1,2,"faces","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,2500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"49",NA,49,"K","scramble",0,1,2,"body_parts","objects",NA,NA,"NaN","NaN",NA,NA,1500,1400,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"50",NA,50,"G","original",0,1,2,"objects","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"51",NA,51,"L","original",0,1,2,"body_parts","faces",NA,NA,"NaN","NaN",NA,NA,3000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"52",NA,52,"J","scramble",0,1,2,"faces","objects",NA,NA,"NaN","NaN",NA,NA,1500,1800,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"53",NA,53,"I","scramble",0,2,3,"body_parts","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,2500,1100,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"54",NA,54,"A","original",0,2,3,"outdoor_scenes","objects",NA,NA,"NaN","NaN",NA,NA,3000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"55",NA,55,"E","scramble",0,2,3,"objects","body_parts",NA,NA,"NaN","NaN",NA,NA,2000,900,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"56",NA,56,"D","original",0,2,3,"objects","faces",NA,NA,"NaN","NaN",NA,NA,2500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"57",NA,57,"H","scramble",0,2,3,"faces","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,2000,1100,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"58",NA,58,"H","original",0,2,3,"faces","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"59",NA,59,"E","original",0,2,3,"objects","body_parts",NA,NA,"NaN","NaN",NA,NA,1500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"60",NA,60,"J","scramble",0,2,3,"faces","objects",NA,NA,"NaN","NaN",NA,NA,5500,700,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"61",NA,61,"K","scramble",0,2,3,"body_parts","objects",NA,NA,"NaN","NaN",NA,NA,1500,900,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"62",NA,62,"B","original",0,2,3,"outdoor_scenes","faces",NA,NA,"NaN","NaN",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"63",NA,63,"F","scramble",0,2,3,"faces","body_parts",NA,NA,"NaN","NaN",NA,NA,2000,1100,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"64",NA,64,"L","original",0,2,3,"body_parts","faces",NA,NA,"NaN","NaN",NA,NA,3500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"65",NA,65,"G","scramble",0,2,3,"objects","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1000,1300,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"66",NA,66,"G","original",0,2,3,"objects","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"67",NA,67,"A","scramble",0,2,3,"outdoor_scenes","objects",NA,NA,"NaN","NaN",NA,NA,2000,1400,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"68",NA,68,"C","scramble",0,2,3,"outdoor_scenes","body_parts",NA,NA,"NaN","NaN",NA,NA,2500,1000,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"69",NA,69,"K","original",0,2,3,"body_parts","objects",NA,NA,"NaN","NaN",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"70",NA,70,"L","scramble",0,2,3,"body_parts","faces",NA,NA,"NaN","NaN",NA,NA,6000,1200,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"71",NA,71,"F","original",0,2,3,"faces","body_parts",NA,NA,"NaN","NaN",NA,NA,1500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"72",NA,72,"J","original",0,2,3,"faces","objects",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"73",NA,73,"D","scramble",0,2,3,"objects","faces",NA,NA,"NaN","NaN",NA,NA,1500,1500,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"74",NA,74,"B","scramble",0,2,3,"outdoor_scenes","faces",NA,NA,"NaN","NaN",NA,NA,2500,1400,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"75",NA,75,"C","original",0,2,3,"outdoor_scenes","body_parts",NA,NA,"NaN","NaN",NA,NA,2500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"76",NA,76,"I","original",0,2,3,"body_parts","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"77",NA,77,"I","scramble",0,2,4,"body_parts","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,3500,700,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"78",NA,78,"B","original",0,2,4,"outdoor_scenes","faces",NA,NA,"NaN","NaN",NA,NA,5500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"79",NA,79,"E","scramble",0,2,4,"objects","body_parts",NA,NA,"NaN","NaN",NA,NA,1500,1800,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"80",NA,80,"J","original",0,2,4,"faces","objects",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"81",NA,81,"A","scramble",0,2,4,"outdoor_scenes","objects",NA,NA,"NaN","NaN",NA,NA,2500,500,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"82",NA,82,"D","scramble",0,2,4,"objects","faces",NA,NA,"NaN","NaN",NA,NA,3500,1500,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"83",NA,83,"K","original",0,2,4,"body_parts","objects",NA,NA,"NaN","NaN",NA,NA,2500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"84",NA,84,"F","scramble",0,2,4,"faces","body_parts",NA,NA,"NaN","NaN",NA,NA,4500,200,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"85",NA,85,"K","scramble",0,2,4,"body_parts","objects",NA,NA,"NaN","NaN",NA,NA,3500,100,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"86",NA,86,"H","original",0,2,4,"faces","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"87",NA,87,"J","scramble",0,2,4,"faces","objects",NA,NA,"NaN","NaN",NA,NA,2000,1300,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"88",NA,88,"C","original",0,2,4,"outdoor_scenes","body_parts",NA,NA,"NaN","NaN",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"89",NA,89,"L","original",0,2,4,"body_parts","faces",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"90",NA,90,"C","scramble",0,2,4,"outdoor_scenes","body_parts",NA,NA,"NaN","NaN",NA,NA,1000,1000,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"91",NA,91,"F","original",0,2,4,"faces","body_parts",NA,NA,"NaN","NaN",NA,NA,3000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"92",NA,92,"B","scramble",0,2,4,"outdoor_scenes","faces",NA,NA,"NaN","NaN",NA,NA,2500,1000,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"93",NA,93,"G","original",0,2,4,"objects","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,4500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"94",NA,94,"I","original",0,2,4,"body_parts","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"95",NA,95,"H","scramble",0,2,4,"faces","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,2000,1500,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"96",NA,96,"E","original",0,2,4,"objects","body_parts",NA,NA,"NaN","NaN",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"97",NA,97,"A","original",0,2,4,"outdoor_scenes","objects",NA,NA,"NaN","NaN",NA,NA,4500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"98",NA,98,"G","scramble",0,2,4,"objects","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,3500,1100,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"99",NA,99,"L","scramble",0,2,4,"body_parts","faces",NA,NA,"NaN","NaN",NA,NA,1500,500,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"100",NA,100,"D","original",0,2,4,"objects","faces",NA,NA,"NaN","NaN",NA,NA,4500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
