"PID","practice","run","block","trial","item_id","stimulus","path","outcome","iti","isi","response","response_acc","response_rt"
NA,0,2,4,44,"K",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,2,4,45,"F",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,2,4,46,"J",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,2,4,47,"B",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,2,4,48,"E",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,2,4,49,"I",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,2,4,50,"A",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,2,4,51,"G",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,2,4,52,"L",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,2,5,53,"C",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,2,5,54,"F",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,2,5,55,"G",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,2,5,56,"J",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,2,5,57,"D",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,2,5,58,"A",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,2,5,59,"E",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,2,5,60,"H",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,2,5,61,"L",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,2,5,62,"K",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,2,5,63,"B",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,2,5,64,"I",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,2,6,65,"D",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,2,6,66,"L",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,2,6,67,"K",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,2,6,68,"H",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,2,6,69,"C",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,2,6,70,"B",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,2,6,71,"I",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,2,6,72,"J",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,2,6,73,"G",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,2,6,74,"A",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,2,6,75,"E",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,2,6,76,"F",NA,"NaN","NaN",NA,NA,NA,NA,NA
