"","PID","time_elapsed","index","block","rt","chosen_trial","gain_left","left_chosen","higher_outcome_chosen","chosen_obj","unchosen_obj","stimulus_left","stimulus_right","rating_left","rating_right","painting_left","painting_right","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind"
"480","1ae5n",1044784,23,1,0.954,1,0,0,1,39,46,46,39,55,44,"stefan-stefancik-QXevDflbl8A-unsplash.jpg","philip-martin-5aGUyCW_PJw-unsplash.jpg",33,27
"483","1ae5n",1047904,24,1,1.573,0,1,1,1,26,22,26,22,59,57,"juri-gianfrancesco-9EZadYaMzk4-unsplash.jpg","jessica-radanavong-mrYkTuAesKE-unsplash.jpg",35,26
"486","1ae5n",1050795,25,1,1.359,0,0,0,1,49,16,16,49,54,46,"giano-currie-5-9YOsmf8IQ-unsplash.jpg","vicky-hladynets-_gDoyVv5F4c-unsplash.jpg",24,29
"489","1ae5n",1053122,26,1,0.798,1,1,1,1,40,46,40,46,45,55,"prince-akachi-4Yv84VgQkRM-unsplash.jpg","stefan-stefancik-QXevDflbl8A-unsplash.jpg",30,33
"492","1ae5n",1056064,27,1,1.404,0,1,0,0,15,49,49,15,46,56,"vicky-hladynets-_gDoyVv5F4c-unsplash.jpg","gabriel-silverio-u3WmDyKGsrY-unsplash.jpg",29,32
"495","1ae5n",1058813,28,1,1.219,1,1,1,1,2,46,2,46,47,55,"arjunsyah-TBUA5KHJn6k-unsplash.jpg","stefan-stefancik-QXevDflbl8A-unsplash.jpg",29,33
"498","1ae5n",1061551,29,1,1.208,0,1,0,0,22,49,49,22,46,57,"vicky-hladynets-_gDoyVv5F4c-unsplash.jpg","jessica-radanavong-mrYkTuAesKE-unsplash.jpg",29,26
"501","1ae5n",1063947,30,1,0.859,1,0,0,1,2,41,41,2,57,47,"prince-akachi-i2hoD-C2RUA-unsplash.jpg","arjunsyah-TBUA5KHJn6k-unsplash.jpg",28,29
"504","1ae5n",1066396,31,1,0.92,0,1,1,1,48,27,48,27,57,47,"velizar-ivanov-7ktP9yZA1g4-unsplash.jpg","jurica-koletic-7YVZYZeITc8-unsplash.jpg",31,28
"507","1ae5n",1068774,32,1,0.853,1,0,0,1,39,36,36,39,61,44,"ospan-ali-mGdA2fzjWLo-unsplash.jpg","philip-martin-5aGUyCW_PJw-unsplash.jpg",24,27
"510","1ae5n",1071528,33,1,1.219,0,0,0,1,33,16,16,33,54,56,"giano-currie-5-9YOsmf8IQ-unsplash.jpg","olena-sergienko-0TSd6uCKTKc-unsplash.jpg",24,30
"513","1ae5n",1073835,34,1,0.782,1,1,1,1,2,17,2,17,47,56,"arjunsyah-TBUA5KHJn6k-unsplash.jpg","gleb-lukomets-paBzWCPN23k-unsplash.jpg",29,32
"516","1ae5n",1076706,35,1,1.345,1,0,0,1,37,1,1,37,60,60,"aiony-haust-jmATI5Q_YgY-unsplash.jpg","pavel-anoshin-d0peGya6R5Y-unsplash.jpg",34,35
"519","1ae5n",1080752,36,1,NA,0,1,NA,NA,NA,NA,33,15,56,56,"olena-sergienko-0TSd6uCKTKc-unsplash.jpg","gabriel-silverio-u3WmDyKGsrY-unsplash.jpg",30,32
"522","1ae5n",1083950,37,1,0.665,1,1,1,1,7,46,7,46,55,55,"brooke-cagle-HRZUzoX1e6w-unsplash.jpg","stefan-stefancik-QXevDflbl8A-unsplash.jpg",31,33
"525","1ae5n",1086104,38,1,0.624,0,1,0,0,22,3,3,22,53,57,"art-hauntington-jzY0KRJopEI-unsplash.jpg","jessica-radanavong-mrYkTuAesKE-unsplash.jpg",25,26
"528","1ae5n",1088341,39,1,0.706,1,0,1,0,24,2,24,2,58,47,"joel-mott-LaK153ghdig-unsplash.jpg","arjunsyah-TBUA5KHJn6k-unsplash.jpg",26,29
"531","1ae5n",1090753,40,1,0.892,0,1,1,1,48,22,48,22,57,57,"velizar-ivanov-7ktP9yZA1g4-unsplash.jpg","jessica-radanavong-mrYkTuAesKE-unsplash.jpg",31,26
"534","1ae5n",1092847,41,1,0.564,1,0,0,1,7,17,17,7,56,55,"gleb-lukomets-paBzWCPN23k-unsplash.jpg","brooke-cagle-HRZUzoX1e6w-unsplash.jpg",32,31
"537","1ae5n",1095187,42,1,0.819,0,0,0,1,26,23,23,26,46,59,"joanna-nix-walkup-H4fEMshfwTE-unsplash.jpg","juri-gianfrancesco-9EZadYaMzk4-unsplash.jpg",33,35
"540","1ae5n",1098697,43,1,1.984,0,1,0,0,13,48,48,13,57,60,"velizar-ivanov-7ktP9yZA1g4-unsplash.jpg","erik-lucatero-d2MSDujJl2g-unsplash.jpg",31,34
"543","1ae5n",1101052,44,1,0.824,1,0,0,1,40,1,1,40,60,45,"aiony-haust-jmATI5Q_YgY-unsplash.jpg","prince-akachi-4Yv84VgQkRM-unsplash.jpg",34,30
"546","1ae5n",1103349,45,1,0.755,1,1,1,1,37,17,37,17,60,56,"pavel-anoshin-d0peGya6R5Y-unsplash.jpg","gleb-lukomets-paBzWCPN23k-unsplash.jpg",35,32
"549","1ae5n",1106081,46,1,1.212,0,0,1,0,22,33,22,33,57,56,"jessica-radanavong-mrYkTuAesKE-unsplash.jpg","olena-sergienko-0TSd6uCKTKc-unsplash.jpg",26,30
"552","1ae5n",1108446,47,1,0.829,1,0,0,1,40,36,36,40,61,45,"ospan-ali-mGdA2fzjWLo-unsplash.jpg","prince-akachi-4Yv84VgQkRM-unsplash.jpg",24,30
"555","1ae5n",1111528,48,1,1.542,0,0,0,1,3,15,15,3,56,53,"gabriel-silverio-u3WmDyKGsrY-unsplash.jpg","art-hauntington-jzY0KRJopEI-unsplash.jpg",32,25
"558","1ae5n",1114184,49,1,1.126,0,1,1,1,45,27,45,27,56,47,"sarah-noltner-pL5ZzPp1zqg-unsplash.jpg","jurica-koletic-7YVZYZeITc8-unsplash.jpg",27,28
"561","1ae5n",1116410,50,1,0.7,0,1,1,1,26,15,26,15,59,56,"juri-gianfrancesco-9EZadYaMzk4-unsplash.jpg","gabriel-silverio-u3WmDyKGsrY-unsplash.jpg",35,32
"564","1ae5n",1118522,51,1,0.589,0,0,0,1,26,16,16,26,54,59,"giano-currie-5-9YOsmf8IQ-unsplash.jpg","juri-gianfrancesco-9EZadYaMzk4-unsplash.jpg",24,35
"567","1ae5n",1120959,52,1,0.908,1,0,0,1,7,24,24,7,58,55,"joel-mott-LaK153ghdig-unsplash.jpg","brooke-cagle-HRZUzoX1e6w-unsplash.jpg",26,31
"570","1ae5n",1123169,53,1,0.68,1,0,0,1,8,17,17,8,56,61,"gleb-lukomets-paBzWCPN23k-unsplash.jpg","bruce-dixon-3M9WJQVHzog-unsplash.jpg",32,25
"573","1ae5n",1125270,54,1,0.566,1,1,1,1,7,1,7,1,55,60,"brooke-cagle-HRZUzoX1e6w-unsplash.jpg","aiony-haust-jmATI5Q_YgY-unsplash.jpg",31,34
"576","1ae5n",1127639,55,1,0.844,1,1,1,1,39,41,39,41,44,57,"philip-martin-5aGUyCW_PJw-unsplash.jpg","prince-akachi-i2hoD-C2RUA-unsplash.jpg",27,28
"579","1ae5n",1129993,56,1,0.819,0,0,1,0,13,33,13,33,60,56,"erik-lucatero-d2MSDujJl2g-unsplash.jpg","olena-sergienko-0TSd6uCKTKc-unsplash.jpg",34,30
"582","1ae5n",1132768,57,1,1.253,0,0,0,1,49,23,23,49,46,46,"joanna-nix-walkup-H4fEMshfwTE-unsplash.jpg","vicky-hladynets-_gDoyVv5F4c-unsplash.jpg",33,29
"585","1ae5n",1135208,58,1,0.91,0,1,1,1,48,15,48,15,57,56,"velizar-ivanov-7ktP9yZA1g4-unsplash.jpg","gabriel-silverio-u3WmDyKGsrY-unsplash.jpg",31,32
"588","1ae5n",1138718,59,1,1.987,0,0,1,0,13,45,13,45,60,56,"erik-lucatero-d2MSDujJl2g-unsplash.jpg","sarah-noltner-pL5ZzPp1zqg-unsplash.jpg",34,27
"591","1ae5n",1140988,60,1,0.733,0,1,1,1,45,15,45,15,56,56,"sarah-noltner-pL5ZzPp1zqg-unsplash.jpg","gabriel-silverio-u3WmDyKGsrY-unsplash.jpg",27,32
"594","1ae5n",1143265,61,1,0.75,1,0,0,1,37,24,24,37,58,60,"joel-mott-LaK153ghdig-unsplash.jpg","pavel-anoshin-d0peGya6R5Y-unsplash.jpg",26,35
"597","1ae5n",1146018,62,1,1.225,0,0,0,1,33,23,23,33,46,56,"joanna-nix-walkup-H4fEMshfwTE-unsplash.jpg","olena-sergienko-0TSd6uCKTKc-unsplash.jpg",33,30
"600","1ae5n",1150059,63,1,NA,1,0,NA,NA,NA,NA,17,40,56,45,"gleb-lukomets-paBzWCPN23k-unsplash.jpg","prince-akachi-4Yv84VgQkRM-unsplash.jpg",32,30
"603","1ae5n",1155075,64,1,2.483,0,1,1,1,33,27,33,27,56,47,"olena-sergienko-0TSd6uCKTKc-unsplash.jpg","jurica-koletic-7YVZYZeITc8-unsplash.jpg",30,28
"606","1ae5n",1157457,65,1,0.854,1,1,1,1,7,36,7,36,55,61,"brooke-cagle-HRZUzoX1e6w-unsplash.jpg","ospan-ali-mGdA2fzjWLo-unsplash.jpg",31,24
"609","1ae5n",1159867,66,1,0.872,0,1,1,1,49,27,49,27,46,47,"vicky-hladynets-_gDoyVv5F4c-unsplash.jpg","jurica-koletic-7YVZYZeITc8-unsplash.jpg",29,28
"612","1ae5n",1162000,67,1,0.604,1,1,1,1,8,1,8,1,61,60,"bruce-dixon-3M9WJQVHzog-unsplash.jpg","aiony-haust-jmATI5Q_YgY-unsplash.jpg",25,34
"615","1ae5n",1164333,68,1,0.797,0,1,1,1,48,16,48,16,57,54,"velizar-ivanov-7ktP9yZA1g4-unsplash.jpg","giano-currie-5-9YOsmf8IQ-unsplash.jpg",31,24
"618","1ae5n",1167339,69,1,1.478,0,1,0,0,23,3,3,23,53,46,"art-hauntington-jzY0KRJopEI-unsplash.jpg","joanna-nix-walkup-H4fEMshfwTE-unsplash.jpg",25,33
"621","1ae5n",1169957,70,1,1.086,1,0,0,1,40,24,24,40,58,45,"joel-mott-LaK153ghdig-unsplash.jpg","prince-akachi-4Yv84VgQkRM-unsplash.jpg",26,30
"624","1ae5n",1172074,71,1,0.58,1,1,1,1,39,17,39,17,44,56,"philip-martin-5aGUyCW_PJw-unsplash.jpg","gleb-lukomets-paBzWCPN23k-unsplash.jpg",27,32
"628","1ae5n",1199558,72,2,0.732,1,0,0,1,8,24,24,8,58,61,"joel-mott-LaK153ghdig-unsplash.jpg","bruce-dixon-3M9WJQVHzog-unsplash.jpg",26,25
"631","1ae5n",1202004,73,2,0.912,1,0,0,1,2,36,36,2,61,47,"ospan-ali-mGdA2fzjWLo-unsplash.jpg","arjunsyah-TBUA5KHJn6k-unsplash.jpg",24,29
"634","1ae5n",1204038,74,2,0.508,1,0,0,1,8,1,1,8,60,61,"aiony-haust-jmATI5Q_YgY-unsplash.jpg","bruce-dixon-3M9WJQVHzog-unsplash.jpg",34,25
"637","1ae5n",1206571,75,2,1.01,0,0,1,0,23,3,23,3,46,53,"joanna-nix-walkup-H4fEMshfwTE-unsplash.jpg","art-hauntington-jzY0KRJopEI-unsplash.jpg",33,25
"640","1ae5n",1208854,76,2,0.756,0,1,1,1,45,22,45,22,56,57,"sarah-noltner-pL5ZzPp1zqg-unsplash.jpg","jessica-radanavong-mrYkTuAesKE-unsplash.jpg",27,26
"643","1ae5n",1210922,77,2,0.532,1,0,0,1,7,36,36,7,61,55,"ospan-ali-mGdA2fzjWLo-unsplash.jpg","brooke-cagle-HRZUzoX1e6w-unsplash.jpg",24,31
"646","1ae5n",1213022,78,2,0.576,0,0,1,0,13,3,13,3,60,53,"erik-lucatero-d2MSDujJl2g-unsplash.jpg","art-hauntington-jzY0KRJopEI-unsplash.jpg",34,25
"649","1ae5n",1215525,79,2,0.972,0,1,1,1,49,13,49,13,46,60,"vicky-hladynets-_gDoyVv5F4c-unsplash.jpg","erik-lucatero-d2MSDujJl2g-unsplash.jpg",29,34
"652","1ae5n",1217570,80,2,0.517,1,1,0,0,46,39,39,46,44,55,"philip-martin-5aGUyCW_PJw-unsplash.jpg","stefan-stefancik-QXevDflbl8A-unsplash.jpg",27,33
"655","1ae5n",1219811,81,2,0.71,1,1,1,1,39,1,39,1,44,60,"philip-martin-5aGUyCW_PJw-unsplash.jpg","aiony-haust-jmATI5Q_YgY-unsplash.jpg",27,34
"658","1ae5n",1222016,82,2,0.673,0,0,0,1,48,27,27,48,47,57,"jurica-koletic-7YVZYZeITc8-unsplash.jpg","velizar-ivanov-7ktP9yZA1g4-unsplash.jpg",28,31
"661","1ae5n",1224132,83,2,0.588,0,1,1,1,26,27,26,27,59,47,"juri-gianfrancesco-9EZadYaMzk4-unsplash.jpg","jurica-koletic-7YVZYZeITc8-unsplash.jpg",35,28
"664","1ae5n",1226517,84,2,0.847,1,0,0,1,37,1,1,37,60,60,"aiony-haust-jmATI5Q_YgY-unsplash.jpg","pavel-anoshin-d0peGya6R5Y-unsplash.jpg",34,35
"667","1ae5n",1228602,85,2,0.558,0,0,0,1,33,16,16,33,54,56,"giano-currie-5-9YOsmf8IQ-unsplash.jpg","olena-sergienko-0TSd6uCKTKc-unsplash.jpg",24,30
"670","1ae5n",1230703,86,2,0.578,1,1,1,1,40,41,40,41,45,57,"prince-akachi-4Yv84VgQkRM-unsplash.jpg","prince-akachi-i2hoD-C2RUA-unsplash.jpg",30,28
"673","1ae5n",1232954,87,2,0.726,0,1,1,1,26,13,26,13,59,60,"juri-gianfrancesco-9EZadYaMzk4-unsplash.jpg","erik-lucatero-d2MSDujJl2g-unsplash.jpg",35,34
"676","1ae5n",1235247,88,2,0.759,1,0,1,0,46,2,46,2,55,47,"stefan-stefancik-QXevDflbl8A-unsplash.jpg","arjunsyah-TBUA5KHJn6k-unsplash.jpg",33,29
"679","1ae5n",1237337,89,2,0.561,0,0,0,1,49,16,16,49,54,46,"giano-currie-5-9YOsmf8IQ-unsplash.jpg","vicky-hladynets-_gDoyVv5F4c-unsplash.jpg",24,29
"682","1ae5n",1239469,90,2,0.598,1,1,1,1,7,41,7,41,55,57,"brooke-cagle-HRZUzoX1e6w-unsplash.jpg","prince-akachi-i2hoD-C2RUA-unsplash.jpg",31,28
"685","1ae5n",1241635,91,2,0.633,0,1,0,0,22,3,3,22,53,57,"art-hauntington-jzY0KRJopEI-unsplash.jpg","jessica-radanavong-mrYkTuAesKE-unsplash.jpg",25,26
"688","1ae5n",1244362,92,2,1.189,0,1,0,0,22,49,49,22,46,57,"vicky-hladynets-_gDoyVv5F4c-unsplash.jpg","jessica-radanavong-mrYkTuAesKE-unsplash.jpg",29,26
"691","1ae5n",1246473,93,2,0.568,0,0,0,1,45,27,27,45,47,56,"jurica-koletic-7YVZYZeITc8-unsplash.jpg","sarah-noltner-pL5ZzPp1zqg-unsplash.jpg",28,27
"694","1ae5n",1248602,94,2,0.593,1,1,1,1,39,17,39,17,44,56,"philip-martin-5aGUyCW_PJw-unsplash.jpg","gleb-lukomets-paBzWCPN23k-unsplash.jpg",27,32
"697","1ae5n",1250932,95,2,0.798,1,0,0,1,37,46,46,37,55,60,"stefan-stefancik-QXevDflbl8A-unsplash.jpg","pavel-anoshin-d0peGya6R5Y-unsplash.jpg",33,35
"700","1ae5n",1253107,96,2,0.634,1,1,1,1,8,46,8,46,61,55,"bruce-dixon-3M9WJQVHzog-unsplash.jpg","stefan-stefancik-QXevDflbl8A-unsplash.jpg",25,33
"703","1ae5n",1255172,97,2,0.541,1,1,1,1,37,17,37,17,60,56,"pavel-anoshin-d0peGya6R5Y-unsplash.jpg","gleb-lukomets-paBzWCPN23k-unsplash.jpg",35,32
"706","1ae5n",1257298,98,2,0.595,1,1,1,1,7,24,7,24,55,58,"brooke-cagle-HRZUzoX1e6w-unsplash.jpg","joel-mott-LaK153ghdig-unsplash.jpg",31,26
"709","1ae5n",1259690,99,2,0.868,0,1,0,0,13,45,45,13,56,60,"sarah-noltner-pL5ZzPp1zqg-unsplash.jpg","erik-lucatero-d2MSDujJl2g-unsplash.jpg",27,34
"712","1ae5n",1262041,100,2,0.828,0,1,1,1,26,15,26,15,59,56,"juri-gianfrancesco-9EZadYaMzk4-unsplash.jpg","gabriel-silverio-u3WmDyKGsrY-unsplash.jpg",35,32
"715","1ae5n",1264071,101,2,0.506,1,1,1,1,37,41,37,41,60,57,"pavel-anoshin-d0peGya6R5Y-unsplash.jpg","prince-akachi-i2hoD-C2RUA-unsplash.jpg",35,28
"718","1ae5n",1266363,102,2,0.753,0,0,0,1,33,27,27,33,47,56,"jurica-koletic-7YVZYZeITc8-unsplash.jpg","olena-sergienko-0TSd6uCKTKc-unsplash.jpg",28,30
"721","1ae5n",1268862,103,2,0.976,1,1,1,1,37,24,37,24,60,58,"pavel-anoshin-d0peGya6R5Y-unsplash.jpg","joel-mott-LaK153ghdig-unsplash.jpg",35,26
"724","1ae5n",1271036,104,2,0.637,0,1,1,1,49,27,49,27,46,47,"vicky-hladynets-_gDoyVv5F4c-unsplash.jpg","jurica-koletic-7YVZYZeITc8-unsplash.jpg",29,28
"727","1ae5n",1273227,105,2,0.665,0,1,1,1,48,13,48,13,57,60,"velizar-ivanov-7ktP9yZA1g4-unsplash.jpg","erik-lucatero-d2MSDujJl2g-unsplash.jpg",31,34
"730","1ae5n",1275315,106,2,0.55,1,1,1,1,39,24,39,24,44,58,"philip-martin-5aGUyCW_PJw-unsplash.jpg","joel-mott-LaK153ghdig-unsplash.jpg",27,26
"733","1ae5n",1277440,107,2,0.608,1,1,1,1,40,1,40,1,45,60,"prince-akachi-4Yv84VgQkRM-unsplash.jpg","aiony-haust-jmATI5Q_YgY-unsplash.jpg",30,34
"736","1ae5n",1279862,108,2,0.891,1,0,0,1,8,36,36,8,61,61,"ospan-ali-mGdA2fzjWLo-unsplash.jpg","bruce-dixon-3M9WJQVHzog-unsplash.jpg",24,25
"739","1ae5n",1281994,109,2,0.595,1,0,0,1,8,41,41,8,57,61,"prince-akachi-i2hoD-C2RUA-unsplash.jpg","bruce-dixon-3M9WJQVHzog-unsplash.jpg",28,25
"742","1ae5n",1284625,110,2,1.092,0,1,1,1,26,23,26,23,59,46,"juri-gianfrancesco-9EZadYaMzk4-unsplash.jpg","joanna-nix-walkup-H4fEMshfwTE-unsplash.jpg",35,33
"745","1ae5n",1286854,111,2,0.687,0,0,0,1,26,16,16,26,54,59,"giano-currie-5-9YOsmf8IQ-unsplash.jpg","juri-gianfrancesco-9EZadYaMzk4-unsplash.jpg",24,35
"748","1ae5n",1289525,112,2,1.147,1,1,1,1,2,1,2,1,47,60,"arjunsyah-TBUA5KHJn6k-unsplash.jpg","aiony-haust-jmATI5Q_YgY-unsplash.jpg",29,34
"751","1ae5n",1292671,113,2,1.615,1,0,1,0,1,7,1,7,60,55,"aiony-haust-jmATI5Q_YgY-unsplash.jpg","brooke-cagle-HRZUzoX1e6w-unsplash.jpg",34,31
"754","1ae5n",1294968,114,2,0.773,0,0,0,1,45,15,15,45,56,56,"gabriel-silverio-u3WmDyKGsrY-unsplash.jpg","sarah-noltner-pL5ZzPp1zqg-unsplash.jpg",32,27
"757","1ae5n",1298309,115,2,1.807,0,1,1,1,3,16,3,16,53,54,"art-hauntington-jzY0KRJopEI-unsplash.jpg","giano-currie-5-9YOsmf8IQ-unsplash.jpg",25,24
"760","1ae5n",1300750,116,2,0.914,1,1,1,1,40,24,40,24,45,58,"prince-akachi-4Yv84VgQkRM-unsplash.jpg","joel-mott-LaK153ghdig-unsplash.jpg",30,26
"763","1ae5n",1303103,117,2,0.832,1,0,0,1,37,36,36,37,61,60,"ospan-ali-mGdA2fzjWLo-unsplash.jpg","pavel-anoshin-d0peGya6R5Y-unsplash.jpg",24,35
"766","1ae5n",1306563,118,2,1.923,0,0,0,1,33,22,22,33,57,56,"jessica-radanavong-mrYkTuAesKE-unsplash.jpg","olena-sergienko-0TSd6uCKTKc-unsplash.jpg",26,30
"769","1ae5n",1309037,119,2,0.927,0,0,0,1,48,23,23,48,46,57,"joanna-nix-walkup-H4fEMshfwTE-unsplash.jpg","velizar-ivanov-7ktP9yZA1g4-unsplash.jpg",33,31
"772","1ae5n",1311736,120,2,1.174,1,0,0,1,8,17,17,8,56,61,"gleb-lukomets-paBzWCPN23k-unsplash.jpg","bruce-dixon-3M9WJQVHzog-unsplash.jpg",32,25
"775","1ae5n",1313976,121,2,0.719,0,1,1,1,49,15,49,15,46,56,"vicky-hladynets-_gDoyVv5F4c-unsplash.jpg","gabriel-silverio-u3WmDyKGsrY-unsplash.jpg",29,32
"778","1ae5n",1316343,122,2,0.838,0,0,0,1,3,27,27,3,47,53,"jurica-koletic-7YVZYZeITc8-unsplash.jpg","art-hauntington-jzY0KRJopEI-unsplash.jpg",28,25
"781","1ae5n",1318570,123,2,0.698,0,0,0,1,33,15,15,33,56,56,"gabriel-silverio-u3WmDyKGsrY-unsplash.jpg","olena-sergienko-0TSd6uCKTKc-unsplash.jpg",32,30
"784","1ae5n",1320868,124,2,0.77,0,1,0,0,13,33,33,13,56,60,"olena-sergienko-0TSd6uCKTKc-unsplash.jpg","erik-lucatero-d2MSDujJl2g-unsplash.jpg",30,34
"787","1ae5n",1323071,125,2,0.668,0,1,1,1,45,16,45,16,56,54,"sarah-noltner-pL5ZzPp1zqg-unsplash.jpg","giano-currie-5-9YOsmf8IQ-unsplash.jpg",27,24
"790","1ae5n",1326842,126,2,2.253,0,1,1,1,3,15,3,15,53,56,"art-hauntington-jzY0KRJopEI-unsplash.jpg","gabriel-silverio-u3WmDyKGsrY-unsplash.jpg",25,32
"793","1ae5n",1329221,127,2,0.845,1,0,0,1,2,24,24,2,58,47,"joel-mott-LaK153ghdig-unsplash.jpg","arjunsyah-TBUA5KHJn6k-unsplash.jpg",26,29
"796","1ae5n",1331739,128,2,0.983,1,0,0,1,40,36,36,40,61,45,"ospan-ali-mGdA2fzjWLo-unsplash.jpg","prince-akachi-4Yv84VgQkRM-unsplash.jpg",24,30
"799","1ae5n",1334390,129,2,1.114,1,1,1,1,7,46,7,46,55,55,"brooke-cagle-HRZUzoX1e6w-unsplash.jpg","stefan-stefancik-QXevDflbl8A-unsplash.jpg",31,33
"802","1ae5n",1336604,130,2,0.69,1,0,0,1,7,17,17,7,56,55,"gleb-lukomets-paBzWCPN23k-unsplash.jpg","brooke-cagle-HRZUzoX1e6w-unsplash.jpg",32,31
"805","1ae5n",1339000,131,2,0.855,1,0,0,1,2,17,17,2,56,47,"gleb-lukomets-paBzWCPN23k-unsplash.jpg","arjunsyah-TBUA5KHJn6k-unsplash.jpg",32,29
"808","1ae5n",1341375,132,2,0.837,1,0,0,1,39,36,36,39,61,44,"ospan-ali-mGdA2fzjWLo-unsplash.jpg","philip-martin-5aGUyCW_PJw-unsplash.jpg",24,27
